,0,1,2,optics_label,kmeans_label,dbscan_label,hierarchy_label
TRV,-11.130843,-9.91006,9.18814,14,0,3,10
TSCO,5.151724,-1.7167408,5.5647774,21,5,14,0
TSLA,5.240926,17.720655,3.224866,4,12,2,9
TSN,6.36476,-5.6566195,-2.604502,15,6,11,2
TT,-4.5436883,2.903419,2.6872914,7,3,6,11
TTWO,7.0004835,18.084768,-2.0569923,4,12,-1,9
TXN,-5.1787224,15.513112,-2.317106,18,8,4,7
TXT,-7.0805826,-3.1370702,3.713707,13,14,17,5
TYL,4.9520025,14.310128,-0.1699299,4,12,2,9
UAL,-8.294228,-10.067093,0.062071897,6,14,1,1
UDR,3.770192,-16.624792,1.1748695,16,2,8,6
UHS,1.2654911,-8.900023,7.020983,-1,14,-1,1
ULTA,0.66073066,-6.5353155,2.6207254,12,14,10,5
UNH,9.409292,2.4375165,-14.120383,15,6,13,2
UNP,-8.173572,6.068838,8.610117,20,9,16,0
UPS,-5.4133425,7.501432,10.684679,20,9,16,0
URI,-7.8226514,0.8900035,1.746832,7,3,6,11
USB,-18.522516,-4.8993206,7.527209,10,7,12,8
V,2.2115195,6.928166,-4.591098,5,13,2,3
VLO,-14.762835,-13.374895,-0.9000287,11,4,9,14
VMC,-10.390518,6.6432056,2.8645294,-1,9,-1,3
VRSK,5.7150974,6.8224206,0.67904717,5,13,2,3
VRSN,5.74104,8.521018,-0.32039547,5,13,2,3
VRTX,19.327314,3.6989367,-6.394872,2,1,0,4
VTR,2.9144676,-12.231476,0.46457312,16,2,8,6
VTRS,12.031722,2.0586941,-5.830792,-1,1,-1,4
VZ,7.831822,-3.4914184,-6.9329166,15,6,11,2
WAB,-6.589864,-0.9427919,1.9993376,7,3,6,11
WAT,14.957688,10.97307,0.07902002,0,1,0,4
WBA,10.189826,0.03536224,-8.350833,15,6,11,2
WBD,-1.9270796,-6.095822,-5.0724115,22,11,18,0
